SL_No,STATE,PC_Name ,WINNER_NAME,CATEGORY,SOCIAL_CATEGORY,PARTY,PARTY_SYMBOL,MARGIN,No_Of_Polling_Station,Electors,Avg_No_of_Electors_Per_PS,Nominations,Contestants,Forefeited_Deposits,Voters,Voters_Turn_Out_Percent,Year
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,GEN,GEN,INC,Hand,1407,407,318471,782,19,15,13,207398,65,2024
2,Andhra Pradesh,Aruku ,GODDETI. MADHAVI,ST,ST,YSRCP,Ceiling Fan,224089,2035,1451418,713,13,10,8,1078235,74,2024
3,Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,GEN,GEN,TDP,Bicycle,6653,2031,1553860,765,13,9,7,1164286,75,2024
4,Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,GEN,GEN,YSRCP,Ceiling Fan,48036,1887,1503980,797,17,14,12,1222433,81,2024
5,Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,GEN,GEN,YSRCP,Ceiling Fan,4414,1915,1829300,955,24,14,11,1239921,68,2024
6,Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,GEN,GEN,YSRCP,Ceiling Fan,89192,1799,1521363,846,14,10,8,1240456,82,2024
7,Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,GEN,GEN,YSRCP,Ceiling Fan,25738,1623,1563930,964,20,15,13,1236814,79,2024
8,Andhra Pradesh,Amalapuram ,CHINTA ANURADHA,SC,SC,YSRCP,Ceiling Fan,39795,1641,1459556,889,13,10,7,1235368,85,2024
9,Andhra Pradesh,Rajahmundry,MARGANI BHARAT,GEN,GEN,YSRCP,Ceiling Fan,121634,1584,1534256,969,17,11,9,1250488,82,2024
10,Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,GEN,GEN,YSRCP,Ceiling Fan,32676,1502,1439691,959,20,15,12,1179162,82,2024
11,Andhra Pradesh,Eluru ,KOTAGIRI SRIDHAR,GEN,GEN,YSRCP,Ceiling Fan,165925,1771,1594950,901,14,10,8,1332210,84,2024
12,Andhra Pradesh,Machilipatnam ,BALASHOWRY VALLABHANENI,GEN,GEN,YSRCP,Ceiling Fan,60238,1752,1473347,841,18,12,10,1245552,85,2024
13,Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),GEN,GEN,TDP,Bicycle,8726,1709,1652994,967,21,15,13,1277775,77,2024
14,Andhra Pradesh,Guntur,Jayadev Galla,GEN,GEN,TDP,Bicycle,4205,1804,1706119,946,27,19,17,1351527,79,2024
15,Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,GEN,GEN,YSRCP,Ceiling Fan,154002,1915,1670391,872,19,13,11,1440732,86,2024
16,Andhra Pradesh,Bapatla ,NANDIGAM SURESH,SC,SC,YSRCP,Ceiling Fan,16065,1767,1468671,831,16,13,11,1269998,86,2024
17,Andhra Pradesh,Ongole ,MAGUNTA SREENIVASULU REDDY,GEN,GEN,YSRCP,Ceiling Fan,214851,1931,1556469,806,17,13,11,1344003,86,2024
18,Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,GEN,GEN,YSRCP,Ceiling Fan,250119,1938,1603220,827,28,20,18,1299785,81,2024
19,Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,GEN,GEN,YSRCP,Ceiling Fan,149067,1843,1573009,854,17,16,14,1190672,76,2024
20,Andhra Pradesh,Anantapur,TALARI RANGAIAH,GEN,GEN,YSRCP,Ceiling Fan,141428,1975,1664160,843,18,14,12,1348114,81,2024
21,Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,GEN,GEN,YSRCP,Ceiling Fan,140748,1909,1578218,827,12,9,7,1340027,85,2024
22,Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,GEN,GEN,YSRCP,Ceiling Fan,380726,1922,1570330,817,24,15,13,1235547,79,2024
23,Andhra Pradesh,Nellore,Adala Prabhakara Reddy,GEN,GEN,YSRCP,Ceiling Fan,148571,1944,1672845,861,21,13,11,1289161,77,2024
24,Andhra Pradesh,Tirupati ,Balli Durga Prasad Rao,SC,SC,YSRCP,Ceiling Fan,228376,1987,1650453,831,17,12,10,1316473,80,2024
25,Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,GEN,GEN,YSRCP,Ceiling Fan,268284,1892,1546938,818,20,9,7,1226152,79,2024
26,Andhra Pradesh,Chittoor ,N. REDDEPPA,SC,SC,YSRCP,Ceiling Fan,137271,1883,1566499,832,10,8,6,1319635,84,2024
27,Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,GEN,GEN,BJP,Lotus,174843,1297,463775,358,7,7,6,364047,79,2024
28,Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,GEN,GEN,BJP,Lotus,69948,905,339788,375,5,5,3,295719,87,2024
29,Assam,Kokrajhar,Naba Kumar Sarania,ST,ST,IND,Battery Torch,37786,2347,1776358,757,12,9,6,1479744,83,2024
30,Assam,Barpeta,Abdul Khaleque,GEN,GEN,INC,Hand,140307,2188,1685149,770,14,13,10,1458808,87,2024
31,Assam,Gauhati,QUEEN OJA,GEN,GEN,BJP,Lotus,345606,2592,2181319,842,19,17,15,1763950,81,2024
32,Assam,Mangaldoi,DILIP SAIKIA,GEN,GEN,BJP,Lotus,138545,2353,1800237,765,13,11,9,1506419,84,2024
33,Assam,Tezpur,PALLAB LOCHAN DAS,GEN,GEN,BJP,Lotus,242841,1880,1499639,798,10,7,5,1191885,79,2024
34,Assam,Nowgong,Pradyut Bordoloi,GEN,GEN,INC,Hand,16752,2283,1794648,786,8,7,5,1493624,83,2024
35,Assam,Kaliabor,Gaurav Gogoi,GEN,GEN,INC,Hand,209994,2174,1734938,798,7,7,5,1424795,82,2024
36,Assam,Jorhat,TOPON KUMAR GOGOI,GEN,GEN,BJP,Lotus,82653,1753,1365035,779,8,8,6,1058820,78,2024
37,Assam,Dibrugarh,RAMESWAR TELI,GEN,GEN,BJP,Lotus,364566,1657,1314319,793,8,8,6,1015992,77,2024
38,Assam,Lakhimpur,PRADAN BARUAH,GEN,GEN,BJP,Lotus,350551,2110,1708013,809,12,11,9,1283950,75,2024
39,Assam,Karimganj ,KRIPANATH MALLAH,SC,SC,BJP,Lotus,38389,1721,1340173,779,19,14,12,1061160,79,2024
40,Assam,Silchar,RAJDEEP ROY,GEN,GEN,BJP,Lotus,81596,1461,1195720,818,14,13,11,950690,80,2024
41,Assam,Autonomous District,HOREN SING BEY,ST,ST,BJP,Lotus,239626,1174,795945,678,6,5,3,617858,78,2024
42,Assam,Dhubri,BADRUDDIN AJMAL,GEN,GEN,AIUDF,Lock and Key,226258,2450,1858566,759,17,15,12,1685058,91,2024
43,Bihar,Samastipur (SC),Ramchandra Paswan,SC,SC,LJP,Bungalow,251643,1700,1679030,988,17,11,9,1019771,61,2024
44,Bihar,Begusarai,Giriraj Singh,GEN,GEN,BJP,Lotus,422217,1944,1958382,1007,21,10,8,1226503,63,2024
45,Bihar,Khagaria,Choudhary Mehboob Ali Kaiser,GEN,GEN,LJP,Bungalow,248570,1714,1676454,978,26,20,18,967411,58,2024
46,Bihar,Bhagalpur,AJAY KUMAR MANDAL,GEN,GEN,JD(U),Arrow,277630,1777,1823820,1026,16,9,7,1043182,57,2024
47,Bihar,Banka,GIRIDHARI YADAV,GEN,GEN,JD(U),Arrow,200532,1816,1699394,936,23,20,18,995860,59,2024
48,Bihar,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,GEN,GEN,JD(U),Arrow,167937,1926,1888025,980,21,19,17,1036441,55,2024
49,Bihar,Nalanda,Kaushlendra Kumar,GEN,GEN,JD(U),Arrow,256137,2248,2114809,941,36,35,33,1031874,49,2024
50,Bihar,Patna Sahib,RAVI SHANKAR PRASAD,GEN,GEN,BJP,Lotus,284657,2007,2146008,1069,37,18,16,982939,46,2024
51,Bihar,Pataliputra,RAM KRIPAL YADAV,GEN,GEN,BJP,Lotus,39321,2050,1925479,939,33,25,23,1078809,56,2024
52,Bihar,Arrah,R. K. Singh,GEN,GEN,BJP,Lotus,147285,2162,2089353,966,24,11,9,1082464,52,2024
53,Bihar,Valmiki Nagar,BAIDYANATH PRASAD MAHTO,GEN,GEN,JD(U),Arrow,354616,1701,1665502,979,17,13,11,1032231,62,2024
54,Bihar,Buxar,Ashwini Kumar Choubey,GEN,GEN,BJP,Lotus,117609,1856,1829373,986,16,15,13,986962,54,2024
55,Bihar,Paschim Champaran,DR. SANJAY JAISWAL,GEN,GEN,BJP,Lotus,293906,1647,1633824,992,18,9,7,1013373,62,2024
56,Bihar,Sasaram (SC),CHHEDI PASWAN,SC,SC,BJP,Lotus,165745,1927,1787878,928,15,13,11,975577,55,2024
57,Bihar,Purvi Champaran,RADHA MOHAN SINGH,GEN,GEN,BJP,Lotus,293648,1611,1658672,1030,25,22,20,1000135,60,2024
58,Bihar,Karakat,MAHABALI SINGH,GEN,GEN,JD(U),Arrow,84542,1869,1771254,948,37,27,25,869546,49,2024
59,Bihar,Jahanabad,CHANDESHWAR PRASAD,GEN,GEN,JD(U),Arrow,1751,1692,1588454,939,29,13,11,822233,52,2024
60,Bihar,Sheohar,RAMA DEVI,GEN,GEN,BJP,Lotus,340360,1670,1686215,1010,26,18,16,1004927,60,2024
61,Bihar,Aurangabad,SUSHIL KUMAR SINGH,GEN,GEN,BJP,Lotus,70552,2021,1886284,933,42,23,20,1198727,64,2024
62,Bihar,Sitamarhi,Sunil Kumar Pintu,GEN,GEN,JD(U),Arrow,250539,1776,1752454,987,24,20,18,1039600,59,2024
63,Bihar,Madhubani,ASHOK KUMAR YADAV,GEN,GEN,BJP,Lotus,454940,1837,1792798,976,22,17,16,964706,54,2024
64,Bihar,Gaya (SC),Vijay Kumar,SC,SC,JD(U),Arrow,152426,1772,1704596,962,14,13,11,957654,56,2024
65,Bihar,Jhanjharpur,Ramprit Mandal,GEN,GEN,JD(U),Arrow,322951,1929,1852417,960,20,17,15,1062391,57,2024
66,Bihar,Nawada,Chandan Singh,GEN,GEN,LJP,Bungalow,148072,1899,1899747,1000,18,13,11,944691,50,2024
67,Bihar,Supaul,Dileshwar Kamait,GEN,GEN,JD(U),Arrow,266853,1770,1690620,955,24,20,18,1110996,66,2024
68,Bihar,Jamui (SC),CHIRAG KUMAR PASWAN,SC,SC,LJP,Bungalow,241049,1850,1718814,929,12,9,7,949561,55,2024
69,Bihar,Araria,PRADEEP KUMAR SINGH,GEN,GEN,BJP,Lotus,137241,1723,1805439,1048,28,12,10,1169741,65,2024
70,Bihar,Kishanganj,Dr. Mohammad Jawed,GEN,GEN,INC,Hand,34466,1626,1659651,1021,16,14,11,1101656,66,2024
71,Bihar,Katihar,DULAL CHANDRA GOSWAMI,GEN,GEN,JD(U),Arrow,57203,1667,1653353,992,17,9,7,1118289,68,2024
72,Bihar,Purnia,SANTOSH KUMAR,GEN,GEN,JD(U),Arrow,263461,1758,1765312,1004,17,16,14,1153989,65,2024
73,Bihar,Madhepura,Dinesh Chandra Yadav,GEN,GEN,JD(U),Arrow,301527,1940,1884883,972,18,13,11,1147652,61,2024
74,Bihar,Darbhanga,Gopal Jee Thakur,GEN,GEN,BJP,Lotus,267979,1664,1654811,994,17,8,6,965510,58,2024
75,Bihar,Muzaffarpur,Ajay Nishad,GEN,GEN,BJP,Lotus,409988,1748,1730553,990,37,22,20,1058507,61,2024
76,Bihar,Vaishali,Veena Devi (W/o Dinesh Prasad Singh),GEN,GEN,LJP,Bungalow,234584,1803,1735983,963,36,22,20,1074751,62,2024
77,Bihar,Gopalganj (SC),DR. ALOK KUMAR SUMAN,SC,SC,JD(U),Arrow,286434,1906,1839514,965,17,13,11,1026056,56,2024
78,Bihar,Siwan,Kavita Singh,GEN,GEN,JD(U),Arrow,116958,1787,1799551,1007,24,19,17,984850,55,2024
79,Bihar,Maharajganj,"Janardan Singh 'Sigriwal""",GEN,GEN,BJP,Lotus,230772,2067,1915408,927,21,14,12,1227224,64,2024
80,Bihar,Saran,Rajiv Pratap Rudy,GEN,GEN,BJP,Lotus,138411,1711,1667253,974,15,12,10,943615,57,2024
81,Bihar,Hajipur (SC),PASHU PATI KUMAR PARAS,SC,SC,LJP,Bungalow,205449,1827,1823664,998,27,11,9,1007680,55,2024
82,Bihar,Ujiarpur,Nityanand Rai,GEN,GEN,BJP,Lotus,277278,1600,1612300,1008,30,18,16,969862,60,2024
83,Chandigarh,CHANDIGARH,KIRRON KHER,GEN,GEN,BJP,Lotus,46970,597,646729,1083,45,36,34,456637,71,2024
84,Chhattisgarh,SARGUJA,Renuka Singh Saruta,ST,ST,BJP,Lotus,157873,2153,1655239,769,11,10,8,1281216,77,2024
85,Chhattisgarh,RAIGARH,GOMATI SAI,ST,ST,BJP,Lotus,66027,2327,1733805,745,14,14,12,1350741,78,2024
86,Chhattisgarh,JANJGIR-CHAMPA,GUHARAM AJGALLEY,SC,SC,BJP,Lotus,83255,2172,1897134,873,18,15,13,1248474,66,2024
87,Chhattisgarh,KORBA,JYOTSNA CHARANDAS MAHANT,GEN,GEN,INC,Hand,26249,2008,1508840,751,20,13,11,1137423,75,2024
88,Chhattisgarh,BILASPUR,ARUN SAO,GEN,GEN,BJP,Lotus,141763,2221,1876953,845,27,25,23,1210261,64,2024
89,Chhattisgarh,RAJNANDGAON,SANTOSH PANDEY,GEN,GEN,BJP,Lotus,111966,2322,1716459,739,24,14,12,1307878,76,2024
90,Chhattisgarh,DURG,VIJAY BAGHEL,GEN,GEN,BJP,Lotus,391978,2183,1940269,889,27,21,19,1392719,72,2024
91,Chhattisgarh,RAIPUR,Sunil Kumar Soni,GEN,GEN,BJP,Lotus,348238,2343,2111738,901,32,25,23,1397142,66,2024
92,Chhattisgarh,MAHASAMUND,CHUNNI LAL SAHU,GEN,GEN,BJP,Lotus,90511,2140,1637951,765,18,13,11,1222767,75,2024
93,Chhattisgarh,BASTAR,DEEPAK BAIJ,ST,ST,INC,Hand,38982,1879,1379122,734,8,7,5,913761,66,2024
94,Chhattisgarh,KANKER,MOHAN MANDAVI,ST,ST,BJP,Lotus,6914,2022,1558952,771,12,9,7,1160243,74,2024
95,Dadra & Nagar Haveli,Dadra And Nagar Haveli,DELKAR MOHANBHAI SANJIBHAI,ST,ST,IND,Batsman,9001,288,250029,868,13,11,9,198984,80,2024
96,Daman & Diu,Daman & diu,LALUBHAI BABUBHAI PATEL,GEN,GEN,BJP,Lotus,9942,152,121740,801,7,4,1,87473,72,2024
97,Goa,North Goa,SHRIPAD YESSO NAIK,GEN,GEN,BJP,Lotus,80247,842,556761,661,8,6,4,429006,77,2024
98,Goa,South Goa,COSME FRANCISCO CAITANO SARDINHA,GEN,GEN,INC,Hand,9755,810,579352,715,8,6,4,424718,73,2024
99,Gujarat,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,GEN,GEN,BJP,Lotus,150211,1913,1642864,859,18,12,10,1007252,61,2024
100,Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,GEN,GEN,BJP,Lotus,201431,1908,1628451,853,15,12,10,911443,56,2024
101,Gujarat,Bhavnagar,DR.BHARATIBEN DHIRUBHAI SHIYAL,GEN,GEN,BJP,Lotus,329519,2005,1768297,882,19,10,8,1044242,59,2024
102,Gujarat,Anand,PATEL MITESH RAMESHBHAI (BAKABHAI),GEN,GEN,BJP,Lotus,197718,1847,1655870,897,13,10,8,1110084,67,2024
103,Gujarat,Kheda,Chauhan Devusinh,GEN,GEN,BJP,Lotus,367145,2111,1804028,855,12,7,5,1101173,61,2024
104,Gujarat,Panchmahal,Ratansinh Magansinh Rathod,GEN,GEN,BJP,Lotus,428541,2146,1744762,813,18,6,4,1085718,62,2024
105,Gujarat,Dahod,JASHVANTSINH SUMANBHAI BHABHOR,ST,ST,BJP,Lotus,127596,1950,1598939,820,11,7,5,1064391,67,2024
106,Gujarat,Vadodara,RANJANBEN BHATT,GEN,GEN,BJP,Lotus,589177,1824,1794896,984,20,13,11,1223709,68,2024
107,Gujarat,Chhota Udaipur,RATHVA GITABEN VAJESINGBHAI,ST,ST,BJP,Lotus,377943,2233,1671253,748,10,8,6,1235055,74,2024
108,Gujarat,Bharuch,Mansukhbhai Dhanjibhai Vasava,GEN,GEN,BJP,Lotus,334214,1916,1564519,817,22,17,15,1150658,74,2024
109,Gujarat,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,ST,ST,BJP,Lotus,215447,2202,1826526,829,17,12,10,1349645,74,2024
110,Gujarat,Surat,Darshana Vikram Jardosh,GEN,GEN,BJP,Lotus,548230,1681,1655704,985,21,13,11,1069253,65,2024
111,Gujarat,Navsari,C. R. Patil,GEN,GEN,BJP,Lotus,689668,2098,1971658,940,29,25,23,1309236,66,2024
112,Gujarat,Valsad,Dr.K.C.PATEL,ST,ST,BJP,Lotus,353797,2057,1671030,812,11,9,7,1261364,75,2024
113,Gujarat,Kachchh,CHAVDA VINOD LAKHAMSHI,SC,SC,BJP,Lotus,305513,2143,1744321,814,14,10,8,1024152,59,2024
114,Gujarat,Banaskantha,PARBATBHAI SAVABHAI PATEL,GEN,GEN,BJP,Lotus,368296,2012,1697384,844,25,14,12,1103739,65,2024
115,Gujarat,Patan,DABHI BHARATSINHJI SHANKARJI,GEN,GEN,BJP,Lotus,193879,2107,1807043,858,18,12,10,1128417,62,2024
116,Gujarat,Mahesana,SHARDABEN ANILBHAI PATEL,GEN,GEN,BJP,Lotus,281519,1863,1648869,885,20,12,10,1084677,66,2024
117,Gujarat,Sabarkantha,RATHOD DIPSINH SHANKARSINH,GEN,GEN,BJP,Lotus,268986,2381,1801717,757,27,20,18,1220978,68,2024
118,Gujarat,Gandhinagar,AMIT SHAH,GEN,GEN,BJP,Lotus,557014,1975,1945772,985,45,17,15,1285826,66,2024
119,Gujarat,Ahmedabad East,Patel Hasmukhbhai Somabhai,GEN,GEN,BJP,Lotus,434330,1895,1811851,956,34,26,24,1119064,62,2024
120,Gujarat,Ahmedabad West,DR. KIRIT P. SOLANKI,SC,SC,BJP,Lotus,321546,1556,1643317,1056,17,13,11,999233,61,2024
121,Gujarat,Surendranagar,Dr. MUNJAPARA MAHENDRABHAI,GEN,GEN,BJP,Lotus,277437,2178,1849429,849,48,31,29,1080199,58,2024
122,Gujarat,Rajkot,KUNDARIA MOHANBHAI KALYANJIBHAI,GEN,GEN,BJP,Lotus,368407,2050,1884339,919,21,10,8,1196300,63,2024
123,Gujarat,Porbandar,RAMESHBHAI LAVJIBHAI DHADUK,GEN,GEN,BJP,Lotus,229823,1854,1662368,897,20,17,15,951107,57,2024
124,Gujarat,Jamnagar,POONAMBEN HEMATBHAI MAADAM,GEN,GEN,BJP,Lotus,236804,1946,1657166,852,44,28,26,1011449,61,2024
125,Haryana,Ambala,RATTAN LAL KATARIA,SC,SC,BJP,Lotus,342345,2045,1853711,906,23,18,16,1317922,71,2024
126,Haryana,Kurukshetra,NAYAB SINGH,GEN,GEN,BJP,Lotus,384591,1819,1657335,911,30,24,22,1231165,74,2024
127,Haryana,Sirsa,Sunita Duggal,SC,SC,BJP,Lotus,309918,1912,1803349,943,22,20,18,1370316,76,2024
128,Haryana,Hisar,BRIJENDRA SINGH,GEN,GEN,BJP,Lotus,314068,1751,1631817,932,46,26,24,1181878,72,2024
129,Haryana,Karnal,Sanjay Bhatia,GEN,GEN,BJP,Lotus,656142,2003,1904193,951,31,16,14,1301474,68,2024
130,Haryana,Sonipat,RAMESH CHANDER KAUSHIK,GEN,GEN,BJP,Lotus,164864,1771,1592611,899,36,29,27,1131146,71,2024
131,Haryana,Rohtak,ARVIND KUMAR SHARMA,GEN,GEN,BJP,Lotus,7503,1876,1737133,926,22,18,16,1224994,71,2024
132,Haryana,Bhiwani-Mahendragarh,Dharambir Singh S/o Bhale Ram,GEN,GEN,BJP,Lotus,444463,1968,1654317,841,29,21,19,1165906,70,2024
133,Haryana,Gurgaon,RAO INDERJIT SINGH,GEN,GEN,BJP,Lotus,386256,2254,2150728,954,34,24,22,1448101,67,2024
134,Haryana,Faridabad,KRISHAN PAL,GEN,GEN,BJP,Lotus,638239,2043,2071816,1014,30,27,25,1328127,64,2024
135,Himachal Pradesh,Kangra,Kishan Kapoor,GEN,GEN,BJP,Lotus,477623,1876,1427338,761,12,11,9,1009556,71,2024
136,Himachal Pradesh,Mandi,RAM SWAROOP SHARMA,GEN,GEN,BJP,Lotus,405459,2082,1281462,615,21,17,15,943148,74,2024
137,Himachal Pradesh,Hamirpur,ANURAG SINGH THAKUR,GEN,GEN,BJP,Lotus,399572,1244,1749100,1406,18,14,12,1090029,62,2024
138,Himachal Pradesh,Shimla,SURESH KUMAR KASHYAP,SC,SC,BJP,Lotus,327514,2008,1259085,627,8,6,4,915149,73,2024
139,Jammu & Kashmir,Udhampur,DR. JITENDRA SINGH,GEN,GEN,BJP,Lotus,357252,2710,1685816,622,14,12,10,1182680,70,2024
140,Jammu & Kashmir,Jammu,Jugal Kishore,GEN,GEN,BJP,Lotus,302875,2740,2047302,747,37,24,22,1484387,73,2024
141,Jammu & Kashmir,Baramulla,MOHAMMAD AKBAR LONE,GEN,GEN,JKN,Plough,30233,1745,1317738,755,14,9,6,455999,35,2024
142,Jammu & Kashmir,Srinagar,Farooq Abdullah,GEN,GEN,JKN,Plough,70050,1716,1294671,754,13,12,10,186863,14,2024
143,Jammu & Kashmir,Anantnag,HASNAIN MASOODI,GEN,GEN,JKN,Plough,6676,1842,1397779,759,20,18,15,125465,9,2024
144,Jammu & Kashmir,Ladakh,Jamyang Tsering Namgyal,GEN,GEN,BJP,Lotus,10930,559,179232,321,8,4,0,127350,71,2024
145,Jharkhand,Rajmahal,VIJAY KUMAR HANSDAK,ST,ST,JMM,Bow & Arrow,99195,2020,1454436,720,16,14,12,1047853,72,2024
146,Jharkhand,Dumka,SUNIL SOREN,ST,ST,BJP,Lotus,47590,1891,1397253,739,16,15,13,1025981,73,2024
147,Jharkhand,Godda,Nishikant Dubey,GEN,GEN,BJP,Lotus,184227,2347,1716766,731,26,13,11,1194343,70,2024
148,Jharkhand,Chatra,SUNIL KUMAR SINGH,GEN,GEN,BJP,Lotus,377871,1899,1425218,751,31,26,25,925956,65,2024
149,Jharkhand,Kodarma,ANNPURNA DEVI,GEN,GEN,BJP,Lotus,455600,2475,1814125,733,18,14,12,1209661,67,2024
150,Jharkhand,Giridih,Chandra Prakash Choudhary,GEN,GEN,AJSUP,Banana,248347,2161,1649413,763,26,15,13,1107156,67,2024
151,Jharkhand,Dhanbad,PASHUPATI NATH SINGH,GEN,GEN,BJP,Lotus,486194,2539,2072634,816,28,20,18,1253265,60,2024
152,Jharkhand,Ranchi,SANJAY SETH,GEN,GEN,BJP,Lotus,282780,2376,1915959,806,35,20,18,1235614,64,2024
153,Jharkhand,Jamshedpur,Bidyut Baran Mahato,GEN,GEN,BJP,Lotus,302090,1885,1703279,904,29,23,21,1144427,67,2024
154,Jharkhand,Singhbhum,GEETA KORA,ST,ST,INC,Hand,72155,1715,1269917,740,11,9,7,879516,69,2024
155,Jharkhand,Khunti,ARJUN MUNDA,ST,ST,BJP,Lotus,1445,1705,1202664,705,20,11,9,832834,69,2024
156,Jharkhand,Lohardaga,SUDARSHAN BHAGAT,ST,ST,BJP,Lotus,10363,1747,1234286,707,17,14,12,818367,66,2024
157,Jharkhand,Palamau,VISHNU DAYAL RAM,SC,SC,BJP,Lotus,477606,2426,1881441,776,24,19,17,1210426,64,2024
158,Jharkhand,Hazaribagh,JAYANT SINHA,GEN,GEN,BJP,Lotus,479548,2278,1667465,732,18,16,14,1081382,65,2024
159,Karnataka,Chikkodi,ANNASAHEB SHANKAR JOLLE,GEN,GEN,BJP,Lotus,118877,1885,1612556,855,13,11,9,1219483,76,2024
160,Karnataka,Belgaum,ANGADI SURESH CHANNABASAPPA,GEN,GEN,BJP,Lotus,391304,2064,1779350,862,66,57,55,1207142,68,2024
161,Karnataka,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda,GEN,GEN,BJP,Lotus,168187,1938,1704010,879,16,14,12,1204702,71,2024
162,Karnataka,Bijapur,JIGAJINAGI RAMESH CHANDAPPA,SC,SC,BJP,Lotus,258038,2101,1797587,856,17,12,10,1112493,62,2024
163,Karnataka,Gulbarga,DR. UMESH G JADHAV,SC,SC,BJP,Lotus,95452,2157,1945765,902,21,12,10,1190471,61,2024
164,Karnataka,Raichur,RAJA AMARESHWARA NAIK,ST,ST,BJP,Lotus,117716,2184,1928204,883,8,5,3,1124962,58,2024
165,Karnataka,Bidar,BHAGWANTH KHUBA,GEN,GEN,BJP,Lotus,116834,1999,1775095,888,35,22,20,1118255,63,2024
166,Karnataka,Koppal,KARADI SANGANNA AMARAPPA,GEN,GEN,BJP,Lotus,38397,2033,1736693,854,17,14,12,1190627,69,2024
167,Karnataka,Bellary,Y. DEVENDRAPPA,ST,ST,BJP,Lotus,55707,1925,1751734,910,14,11,9,1221985,70,2024
168,Karnataka,Haveri,UDASI. S.C.,GEN,GEN,BJP,Lotus,140882,1972,1708510,866,19,10,8,1267888,74,2024
169,Karnataka,Dharwad,Pralhad Joshi,GEN,GEN,BJP,Lotus,205072,1872,1727311,923,26,19,17,1214138,70,2024
170,Karnataka,Uttara Kannada,ANANTKUMAR HEGDE,GEN,GEN,BJP,Lotus,479649,1922,1556599,810,17,13,11,1154390,74,2024
171,Karnataka,Davanagere,G M SIDDESHWAR,GEN,GEN,BJP,Lotus,169702,1949,1633064,838,28,25,23,1195225,73,2024
172,Karnataka,Shimoga,B.Y.RAGHAVENDRA.,GEN,GEN,BJP,Lotus,223360,2021,1676668,830,14,12,10,1284067,77,2024
173,Karnataka,Udupi Chikmagalur,SHOBHA KARANDLAJE,GEN,GEN,BJP,Lotus,349599,1837,1513806,824,14,12,10,1151623,76,2024
174,Karnataka,Hassan,PRAJWAL REVANNA,GEN,GEN,JD(S),A lady farmer carrying paddy on her head,141324,2235,1652999,740,10,6,4,1278653,77,2024
175,Karnataka,Dakshina Kannada,NALIN KUMAR KATEEL,GEN,GEN,BJP,Lotus,274621,1861,1724976,927,15,13,11,1345347,78,2024
176,Karnataka,Chitradurga,A NARAYANASWAMY,SC,SC,BJP,Lotus,80178,2161,1760633,815,24,19,17,1246506,71,2024
177,Karnataka,Tumkur,G. S. BASAVARAJ,GEN,GEN,BJP,Lotus,13339,1907,1608545,843,23,15,13,1245469,77,2024
178,Karnataka,Mandya,SUMALATHA AMBAREESH,GEN,GEN,IND,Man Blowing Turha,125876,2046,1712004,837,27,22,20,1379622,81,2024
179,Karnataka,Mysore,PRATHAP SIMHA,GEN,GEN,BJP,Lotus,138647,2187,1896333,867,30,22,20,1318103,70,2024
180,Karnataka,Chamarajanagar,V. SRINIVAS PRASAD,SC,SC,BJP,Lotus,1817,2005,1686333,841,13,10,8,1270725,75,2024
181,Karnataka,Bangalore Rural,D.K. SURESH,GEN,GEN,INC,Hand,206870,2672,2497458,935,21,15,13,1622824,65,2024
182,Karnataka,Bangalore North,D.V. Sadananda Gowda,GEN,GEN,BJP,Lotus,147518,2656,2849250,1073,38,31,29,1560324,55,2024
183,Karnataka,Bangalore central,P. C. Mohan,GEN,GEN,BJP,Lotus,70968,2082,2204817,1059,29,22,20,1197687,54,2024
184,Karnataka,Bangalore South,TEJASVI SURYA,GEN,GEN,BJP,Lotus,331192,2131,2215489,1040,35,25,23,1189657,54,2024
185,Karnataka,Chikkballapur,B.N.Bache Gowda,GEN,GEN,BJP,Lotus,182110,2284,1808780,792,25,15,13,1387987,77,2024
186,Karnataka,Kolar,S. MUNISWAMY,SC,SC,BJP,Lotus,210021,2100,1629961,776,23,14,12,1259093,77,2024
